go_id	seq_id
GO:0000347	Vitvi05_01chr03g00260_t002_CDS1.prot
GO:0000727	Vitvi05_01chr03g00260_t002_CDS1.prot
GO:0000785	Vitvi05_01chr03g00260_t002_CDS1.prot
GO:0003697	Vitvi05_01chr03g00260_t002_CDS1.prot
GO:0005524	Vitvi05_01chr03g00260_t002_CDS1.prot
GO:0006271	Vitvi05_01chr03g00260_t002_CDS1.prot
GO:0007035	Vitvi05_01chr03g00260_t002_CDS1.prot
GO:0016471	Vitvi05_01chr03g00260_t002_CDS1.prot
GO:0016887	Vitvi05_01chr03g00260_t002_CDS1.prot
GO:0017116	Vitvi05_01chr03g00260_t002_CDS1.prot
GO:0033179	Vitvi05_01chr03g00260_t002_CDS1.prot
GO:0042555	Vitvi05_01chr03g00260_t002_CDS1.prot
GO:0046961	Vitvi05_01chr03g00260_t002_CDS1.prot
GO:0051117	Vitvi05_01chr03g00260_t002_CDS1.prot
GO:1902975	Vitvi05_01chr03g00260_t002_CDS1.prot
GO:0000347	Vitvi05_01chr03g00260_t001_CDS1.prot
GO:0000727	Vitvi05_01chr03g00260_t001_CDS1.prot
GO:0000785	Vitvi05_01chr03g00260_t001_CDS1.prot
GO:0003697	Vitvi05_01chr03g00260_t001_CDS1.prot
GO:0005524	Vitvi05_01chr03g00260_t001_CDS1.prot
GO:0006271	Vitvi05_01chr03g00260_t001_CDS1.prot
GO:0007035	Vitvi05_01chr03g00260_t001_CDS1.prot
GO:0016471	Vitvi05_01chr03g00260_t001_CDS1.prot
GO:0016887	Vitvi05_01chr03g00260_t001_CDS1.prot
GO:0017116	Vitvi05_01chr03g00260_t001_CDS1.prot
GO:0033179	Vitvi05_01chr03g00260_t001_CDS1.prot
GO:0042555	Vitvi05_01chr03g00260_t001_CDS1.prot
GO:0046961	Vitvi05_01chr03g00260_t001_CDS1.prot
GO:0051117	Vitvi05_01chr03g00260_t001_CDS1.prot
GO:1902975	Vitvi05_01chr03g00260_t001_CDS1.prot
GO:0000981	Vitvi05_01chr09g05100_t001_CDS1.prot
GO:0003677	Vitvi05_01chr09g05100_t001_CDS1.prot
GO:0005634	Vitvi05_01chr09g05100_t001_CDS1.prot
GO:0006351	Vitvi05_01chr09g05100_t001_CDS1.prot
GO:0006355	Vitvi05_01chr09g05100_t001_CDS1.prot
GO:0008289	Vitvi05_01chr09g05100_t001_CDS1.prot
GO:0030154	Vitvi05_01chr09g05100_t001_CDS1.prot
GO:0000175	Vitvi05_01chr07g30390_t001_CDS1.prot
GO:0000176	Vitvi05_01chr07g30390_t001_CDS1.prot
GO:0000177	Vitvi05_01chr07g30390_t001_CDS1.prot
GO:0003723	Vitvi05_01chr07g30390_t001_CDS1.prot
GO:0004519	Vitvi05_01chr07g30390_t001_CDS1.prot
GO:0006364	Vitvi05_01chr07g30390_t001_CDS1.prot
GO:0016075	Vitvi05_01chr07g30390_t001_CDS1.prot
GO:0071031	Vitvi05_01chr07g30390_t001_CDS1.prot
GO:0000049	Vitvi05_01chr16g00960_t001_CDS1.prot
GO:0002161	Vitvi05_01chr16g00960_t001_CDS1.prot
GO:0004813	Vitvi05_01chr16g00960_t001_CDS1.prot
GO:0005524	Vitvi05_01chr16g00960_t001_CDS1.prot
GO:0005739	Vitvi05_01chr16g00960_t001_CDS1.prot
GO:0006400	Vitvi05_01chr16g00960_t001_CDS1.prot
GO:0008270	Vitvi05_01chr16g00960_t001_CDS1.prot
GO:0009507	Vitvi05_01chr16g00960_t001_CDS1.prot
GO:0016597	Vitvi05_01chr16g00960_t001_CDS1.prot
GO:0070143	Vitvi05_01chr16g00960_t001_CDS1.prot
GO:0003700	Vitvi05_01chr01g03540_t001_CDS1.prot
GO:0005634	Vitvi05_01chr01g03540_t001_CDS1.prot
GO:0006351	Vitvi05_01chr01g03540_t001_CDS1.prot
GO:0043565	Vitvi05_01chr01g03540_t001_CDS1.prot
GO:2000032	Vitvi05_01chr01g03540_t001_CDS1.prot
GO:0003700	Vitvi05_01chr01g03540_t002_CDS1.prot
GO:0005634	Vitvi05_01chr01g03540_t002_CDS1.prot
GO:0006351	Vitvi05_01chr01g03540_t002_CDS1.prot
GO:0043565	Vitvi05_01chr01g03540_t002_CDS1.prot
GO:2000032	Vitvi05_01chr01g03540_t002_CDS1.prot
GO:0003723	Vitvi05_01chr12g08060_t001_CDS1.prot
GO:0005515	Vitvi05_01chr12g08060_t001_CDS1.prot
GO:0009451	Vitvi05_01chr12g08060_t001_CDS1.prot
GO:0000139	Vitvi05_01chr18g33120_t001_CDS1.prot
GO:0009834	Vitvi05_01chr18g33120_t001_CDS1.prot
GO:0030775	Vitvi05_01chr18g33120_t001_CDS1.prot
GO:0032259	Vitvi05_01chr18g33120_t001_CDS1.prot
GO:0045492	Vitvi05_01chr18g33120_t001_CDS1.prot
GO:0005743	Vitvi05_01chr00g07210_t001_CDS1.prot
GO:0006120	Vitvi05_01chr00g07210_t001_CDS1.prot
GO:0008137	Vitvi05_01chr00g07210_t001_CDS1.prot
GO:0045271	Vitvi05_01chr00g07210_t001_CDS1.prot
GO:0048038	Vitvi05_01chr00g07210_t001_CDS1.prot
GO:0051287	Vitvi05_01chr00g07210_t001_CDS1.prot
GO:1902600	Vitvi05_01chr00g07210_t001_CDS1.prot
GO:0016020	Vitvi05_01chr07g05280_t001_CDS1.prot
GO:0016298	Vitvi05_01chr07g05280_t001_CDS1.prot
GO:0000139	Vitvi05_01chr04g23880_t001_CDS1.prot
GO:0016757	Vitvi05_01chr04g23880_t001_CDS1.prot
GO:0045492	Vitvi05_01chr04g23880_t001_CDS1.prot
GO:0046872	Vitvi05_01chr04g23880_t001_CDS1.prot
GO:0071555	Vitvi05_01chr04g23880_t001_CDS1.prot
GO:0005634	Vitvi05_01chr01g24180_t001_CDS1.prot
GO:0009611	Vitvi05_01chr01g24180_t001_CDS1.prot
GO:0031347	Vitvi05_01chr01g24180_t001_CDS1.prot
GO:2000022	Vitvi05_01chr01g24180_t001_CDS1.prot
GO:0006357	Vitvi05_01chr14g23500_t001_CDS1.prot
GO:0016514	Vitvi05_01chr14g23500_t001_CDS1.prot
GO:0005634	Vitvi05_01chr01g07350_t002_CDS1.prot
GO:0006301	Vitvi05_01chr01g07350_t002_CDS1.prot
GO:0031371	Vitvi05_01chr01g07350_t002_CDS1.prot
GO:0070534	Vitvi05_01chr01g07350_t002_CDS1.prot
GO:0005634	Vitvi05_01chr01g07350_t001_CDS1.prot
GO:0006301	Vitvi05_01chr01g07350_t001_CDS1.prot
GO:0031371	Vitvi05_01chr01g07350_t001_CDS1.prot
GO:0070534	Vitvi05_01chr01g07350_t001_CDS1.prot
GO:0000287	Vitvi05_01chr13g19160_t002_CDS1.prot
GO:0010333	Vitvi05_01chr13g19160_t002_CDS1.prot
GO:0016102	Vitvi05_01chr13g19160_t002_CDS1.prot
GO:0000287	Vitvi05_01chr13g19180_t002_CDS1.prot
GO:0010333	Vitvi05_01chr13g19180_t002_CDS1.prot
GO:0016102	Vitvi05_01chr13g19180_t002_CDS1.prot
GO:0000287	Vitvi05_01chr13g19110_t001_CDS1.prot
GO:0010333	Vitvi05_01chr13g19110_t001_CDS1.prot
GO:0016102	Vitvi05_01chr13g19110_t001_CDS1.prot
GO:0000139	Vitvi05_01chr08g19420_t001_CDS1.prot
GO:0003924	Vitvi05_01chr08g19420_t001_CDS1.prot
GO:0005525	Vitvi05_01chr08g19420_t001_CDS1.prot
GO:0005886	Vitvi05_01chr08g19420_t001_CDS1.prot
GO:0006887	Vitvi05_01chr08g19420_t001_CDS1.prot
GO:0009306	Vitvi05_01chr08g19420_t001_CDS1.prot
GO:0017157	Vitvi05_01chr08g19420_t001_CDS1.prot
GO:0000062	Vitvi05_01chr18g10270_t001_CDS1.prot
GO:0006631	Vitvi05_01chr18g10270_t001_CDS1.prot
GO:0000062	Vitvi05_01chr18g10270_t002_CDS1.prot
GO:0006631	Vitvi05_01chr18g10270_t002_CDS1.prot
GO:0000272	Vitvi05_01chr05g24950_t001_CDS1.prot
GO:0006032	Vitvi05_01chr05g24950_t001_CDS1.prot
GO:0006952	Vitvi05_01chr05g24950_t001_CDS1.prot
GO:0008061	Vitvi05_01chr05g24950_t001_CDS1.prot
GO:0008843	Vitvi05_01chr05g24950_t001_CDS1.prot
GO:0016998	Vitvi05_01chr05g24950_t001_CDS1.prot
GO:0000981	Vitvi05_01chr07g25580_t001_CDS1.prot
GO:0005634	Vitvi05_01chr07g25580_t001_CDS1.prot
GO:0006351	Vitvi05_01chr07g25580_t001_CDS1.prot
GO:0006355	Vitvi05_01chr07g25580_t001_CDS1.prot
GO:0043565	Vitvi05_01chr07g25580_t001_CDS1.prot
GO:0000786	Vitvi05_01chr04g19910_t002_CDS1.prot
GO:0000791	Vitvi05_01chr04g19910_t002_CDS1.prot
GO:0005886	Vitvi05_01chr04g19910_t002_CDS1.prot
GO:0030527	Vitvi05_01chr04g19910_t002_CDS1.prot
GO:0030875	Vitvi05_01chr04g19910_t002_CDS1.prot
GO:0031492	Vitvi05_01chr04g19910_t002_CDS1.prot
GO:0031507	Vitvi05_01chr04g19910_t002_CDS1.prot
GO:0046982	Vitvi05_01chr04g19910_t002_CDS1.prot
GO:1990188	Vitvi05_01chr04g19910_t002_CDS1.prot
GO:0000786	Vitvi05_01chr07g23630_t002_CDS1.prot
GO:0000791	Vitvi05_01chr07g23630_t002_CDS1.prot
GO:0005886	Vitvi05_01chr07g23630_t002_CDS1.prot
GO:0030527	Vitvi05_01chr07g23630_t002_CDS1.prot
GO:0030875	Vitvi05_01chr07g23630_t002_CDS1.prot
GO:0031492	Vitvi05_01chr07g23630_t002_CDS1.prot
