go_id	seq_id
GO:0008643	WP_250121156.1
GO:0015288	WP_250121156.1
GO:0016020	WP_250121156.1
GO:0005886	WP_250121158.1
GO:0055085	WP_250121158.1
GO:0000160	WP_250121162.1
GO:0016491	WP_250121162.1
GO:0000155	WP_250121163.1
GO:0000160	WP_250121163.1
GO:0005524	WP_250121163.1
GO:0003743	WP_250121165.1
GO:0005829	WP_250121165.1
GO:0005975	WP_250121165.1
GO:0016779	WP_250121165.1
GO:0016868	WP_250121165.1
GO:0031470	WP_250121165.1
GO:0043886	WP_250121165.1
GO:0006750	WP_250121169.1
GO:0006751	WP_250121169.1
GO:0036374	WP_250121169.1
GO:0103068	WP_250121169.1
GO:0003994	WP_250121173.1
GO:0005829	WP_250121173.1
GO:0006099	WP_250121173.1
GO:0046872	WP_250121173.1
GO:0051539	WP_250121173.1
GO:0005886	WP_250121184.1
GO:0006813	WP_250121184.1
GO:0015297	WP_250121184.1
GO:1902600	WP_250121184.1
GO:0006810	WP_250121188.1
GO:0009987	WP_250121188.1
GO:0005524	WP_250121196.1
GO:0031676	WP_250121196.1
GO:0045259	WP_250121196.1
GO:0046933	WP_250121196.1
GO:0006813	WP_250121199.1
GO:0034220	WP_250121199.1
GO:0000731	WP_250121218.1
GO:0003677	WP_250121218.1
GO:0005524	WP_250121218.1
GO:0006261	WP_250121218.1
GO:0008047	WP_250121218.1
GO:0016887	WP_250121218.1
GO:0017116	WP_250121218.1
GO:0003677	WP_250121221.1
GO:0004386	WP_250121221.1
GO:0005524	WP_250121221.1
GO:0005829	WP_250121221.1
GO:0016787	WP_250121221.1
GO:0000731	WP_250121223.1
GO:0005524	WP_250121223.1
GO:0006302	WP_250121223.1
GO:0016887	WP_250121223.1
GO:0000287	WP_250121227.1
GO:0005524	WP_250121227.1
GO:0005737	WP_250121227.1
GO:0008360	WP_250121227.1
GO:0008765	WP_250121227.1
GO:0009252	WP_250121227.1
GO:0051301	WP_250121227.1
GO:0071555	WP_250121227.1
GO:0004519	WP_250121231.1
GO:0006260	WP_250121231.1
GO:0006310	WP_250121231.1
GO:0008408	WP_250121231.1
GO:0000287	WP_250121233.1
GO:0005829	WP_250121233.1
GO:0006099	WP_250121233.1
GO:0006107	WP_250121233.1
GO:0008964	WP_250121233.1
GO:0015977	WP_250121233.1
GO:0004470	WP_250121238.1
GO:0016616	WP_250121238.1
GO:0046872	WP_250121238.1
GO:0051287	WP_250121238.1
GO:0003955	WP_250121242.1
GO:0016668	WP_250121242.1
GO:0050660	WP_250121242.1
GO:0006810	WP_250121259.1
GO:0022829	WP_250121259.1
GO:0110165	WP_250121259.1
GO:0000160	WP_250121266.1
GO:0004673	WP_250121266.1
GO:0005524	WP_250121267.1
GO:0005886	WP_250121267.1
GO:0006355	WP_250121267.1
GO:0046872	WP_250121267.1
GO:0051536	WP_250121267.1
GO:0016740	WP_250121273.1
GO:0016787	WP_250121274.1
GO:0004817	WP_250121278.1
GO:0005524	WP_250121278.1
GO:0005829	WP_250121278.1
GO:0006423	WP_250121278.1
GO:0008270	WP_250121278.1
GO:0004355	WP_250121282.1
GO:0006537	WP_250121282.1
GO:0016041	WP_250121282.1
GO:0019676	WP_250121282.1
GO:0046872	WP_250121282.1
GO:0051538	WP_250121282.1
GO:0016787	WP_250121283.1
GO:0003746	WP_250121288.1
GO:0003924	WP_250121288.1
GO:0005525	WP_250121288.1
GO:0005737	WP_250121288.1
GO:0032790	WP_250121288.1
GO:0003723	WP_250121295.1
GO:0004540	WP_250121295.1
GO:0005737	WP_250121295.1
GO:0006364	WP_250121295.1
GO:0016787	WP_250121295.1
GO:0046872	WP_250121295.1
GO:0003824	WP_250121296.1
GO:0051536	WP_250121296.1
GO:0016151	WP_250121309.1
GO:0016829	WP_250121309.1
GO:0003676	WP_250121314.1
GO:0006281	WP_250121314.1
GO:0006310	WP_250121314.1
GO:0008409	WP_250121314.1
GO:0004756	WP_250121320.1
GO:0005524	WP_250121320.1
GO:0005737	WP_250121320.1
GO:0016260	WP_250121320.1
GO:0016491	WP_250121320.1
GO:0004674	WP_250121326.1
GO:0005524	WP_250121326.1
GO:0005886	WP_250121336.1
GO:0022857	WP_250121336.1
GO:0003677	WP_250121351.1
GO:0004519	WP_250121351.1
GO:0006310	WP_250121351.1
GO:0032196	WP_250121351.1
GO:0008137	WP_250121361.1
GO:0012505	WP_250121361.1
GO:0015990	WP_250121361.1
GO:0016020	WP_250121361.1
GO:0042773	WP_250121361.1
GO:0008137	WP_250121362.1
GO:0012505	WP_250121362.1
GO:0015990	WP_250121362.1
GO:0016020	WP_250121362.1
GO:0042773	WP_250121362.1
GO:0048039	WP_250121362.1
GO:0003857	WP_250121367.1
GO:0006635	WP_250121367.1
GO:0070403	WP_250121367.1
GO:0004467	WP_250121368.1
GO:0005524	WP_250121368.1
GO:0016020	WP_250121368.1
GO:0004672	WP_250121381.1
GO:0032559	WP_250121381.1
GO:0035639	WP_250121381.1
GO:0016787	WP_250121416.1
GO:0005886	WP_250121427.1
GO:0006633	WP_250121427.1
GO:0016874	WP_250121427.1
GO:0070566	WP_250121427.1
GO:0071766	WP_250121427.1
GO:0005886	WP_250121428.1
GO:0006633	WP_250121428.1
GO:0016874	WP_250121428.1
GO:0070566	WP_250121428.1
GO:0071766	WP_250121428.1
GO:0008483	WP_250121429.1
GO:0030170	WP_250121429.1
GO:0031177	WP_250121429.1
GO:0004185	WP_250121440.1
GO:0019538	WP_250121440.1
GO:0030203	WP_250121440.1
GO:0005524	WP_250121443.1
GO:0015979	WP_250121443.1
GO:0015995	WP_250121443.1
GO:0016851	WP_250121443.1
GO:0005543	WP_250121444.1
GO:0008915	WP_250121444.1
GO:0009245	WP_250121444.1
GO:0016020	WP_250121444.1
GO:0016020	WP_250121450.1
GO:0071944	WP_250121450.1
GO:0005737	WP_250121456.1
GO:0008360	WP_250121456.1
GO:0043743	WP_250121456.1
GO:0007165	WP_250121460.1
GO:0016020	WP_250121460.1
GO:0003941	WP_250121480.1
GO:0004794	WP_250121480.1
GO:0006565	WP_250121480.1
GO:0006567	WP_250121480.1
